Outputting to ../data/logout.400pktps.10ms.359rwnd2.txt
6921000.000000 0.000000 0.000000
6889661.176128 525408.625993 395923.798076
6795928.513755 1046059.070107 788262.048926
6640650.870386 1557236.241296 1173461.676595
6425234.464404 2054310.839940 1548034.253606
6151630.140141 2532781.281499 1908587.592698
5822315.700725 2988314.463562 2251856.466998
5440273.468715 3416785.007091 2574732.180424
5008963.277725 3814312.616494 2874290.720517
4532291.139635 4177297.220181 3147819.238751
