6921000.000000, 0.000000, 0.000000 
6889661.176128, 395923.798076, 525408.625993 
6795928.513755, 788262.048926, 1046059.070107 
6640650.870386, 1173461.676595, 1557236.241296 
6425234.464404, 1548034.253606, 2054310.839940 
6151630.140141, 1908587.592698, 2532781.281499 
5822315.700725, 2251856.466998, 2988314.463562 
5440273.468715, 2574732.180424, 3416785.007091 
5008963.277725, 2874290.720517, 3814312.616494 
4532291.139635, 3147819.238751, 4177297.220181 
4014573.871142, 3392840.618506, 4502451.573372 
3460500.000000, 3607135.908226, 4786831.027892 
2875087.304986, 3788764.416582, 5027860.199364 
2263637.374120, 3936081.287676, 5223356.290288 
1631687.592661, 4047752.397113, 5371548.857790 
984960.995689, 4122766.434031, 5471095.847031 
329314.439416, 4160444.059696, 5521095.745061 
-329314.439416, 4160444.059696, 5521095.745061 
-984960.995689, 4122766.434031, 5471095.847031 
-1631687.592661, 4047752.397113, 5371548.857790 
-2263637.374120, 3936081.287676, 5223356.290288 
-2875087.304986, 3788764.416582, 5027860.199364 
-3460500.000000, 3607135.908226, 4786831.027892 
-4014573.871142, 3392840.618506, 4502451.573372 
-4532291.139635, 3147819.238751, 4177297.220181 
-5008963.277725, 2874290.720517, 3814312.616494 
-5440273.468715, 2574732.180424, 3416785.007091 
-5822315.700725, 2251856.466998, 2988314.463562 
-6151630.140141, 1908587.592698, 2532781.281499 
-6425234.464404, 1548034.253606, 2054310.839940 
-6640650.870386, 1173461.676595, 1557236.241296 
-6795928.513755, 788262.048926, 1046059.070107 
-6889661.176128, 395923.798076, 525408.625993 
-6921000.000000, 0.000000, 0.000000 
-6889661.176128, -395923.798076, -525408.625993 
-6795928.513755, -788262.048926, -1046059.070107 
-6640650.870386, -1173461.676595, -1557236.241296 
-6425234.464404, -1548034.253606, -2054310.839940 
-6151630.140141, -1908587.592698, -2532781.281499 
-5822315.700725, -2251856.466998, -2988314.463562 
-5440273.468715, -2574732.180424, -3416785.007091 
-5008963.277725, -2874290.720517, -3814312.616494 
-4532291.139635, -3147819.238751, -4177297.220181 
-4014573.871142, -3392840.618506, -4502451.573372 
-3460500.000000, -3607135.908226, -4786831.027892 
-2875087.304986, -3788764.416582, -5027860.199364 
-2263637.374120, -3936081.287676, -5223356.290288 
-1631687.592661, -4047752.397113, -5371548.857790 
-984960.995689, -4122766.434031, -5471095.847031 
-329314.439416, -4160444.059696, -5521095.745061 
329314.439416, -4160444.059696, -5521095.745061 
984960.995689, -4122766.434031, -5471095.847031 
1631687.592661, -4047752.397113, -5371548.857790 
2263637.374120, -3936081.287676, -5223356.290288 
2875087.304986, -3788764.416582, -5027860.199364 
3460500.000000, -3607135.908226, -4786831.027892 
4014573.871142, -3392840.618506, -4502451.573372 
4532291.139635, -3147819.238751, -4177297.220181 
5008963.277725, -2874290.720517, -3814312.616494 
5440273.468715, -2574732.180424, -3416785.007091 
5822315.700725, -2251856.466998, -2988314.463562 
6151630.140141, -1908587.592698, -2532781.281499 
6425234.464404, -1548034.253606, -2054310.839940 
6640650.870386, -1173461.676595, -1557236.241296 
6795928.513755, -788262.048926, -1046059.070107 
6889661.176128, -395923.798076, -525408.625993 
6620721.013526, 1996278.046250, 284900.374016 
6455651.200347, 2360386.933697, 808320.544521 
6232118.010215, 2703119.791558, 1324420.439002 
5952145.794315, 3021372.777998, 1828526.176897 
5618270.024389, 3312263.744689, 2316072.498579 
5233514.331112, 3573158.337992, 2782644.109061 
4801363.121622, 3801693.856068, 3224015.663588 
4325730.024193, 3995800.645877, 3636190.033015 
3810922.445810, 4153720.846272, 4015434.502425 
3261602.563621, 4274024.307463, 4358314.575176 
2682745.103545, 4355621.542678, 4661725.076232 
2079592.288377, 4397773.594716, 4922918.273112 
1457606.363414, 4400098.728069, 5139528.759777 
822420.129507, 4362575.885969, 5309594.878119 
179785.931552, 4285544.881084, 5431576.483033 
-464476.435639, 4169703.318122, 5504368.890216 
-1104532.432303, 4016100.276217, 5527312.880357 
-1734585.612220, 3826126.808302, 5500200.669128 
-2348930.116224, 3601503.343521, 5423277.788912 
-2942002.345355, 3344264.106754, 5297240.865224 
-3508431.345667, 3056738.696364, 5123231.307963 
-4043087.448418, 2741530.986993, 4902824.974625 
-4541128.725149, 2401495.548466, 4638017.899095 
-4998044.836933, 2039711.794372, 4331208.215257 
-5409697.880708, 1659456.094411, 3985174.439116 
-5772359.862763, 1264172.103086, 3603050.306136 
-6082746.460028, 857439.573433, 3188296.391637 
-6338046.763415, 442941.938226, 2744668.771296 
-6535948.733841, 24432.952234, 2276185.005539 
-6674660.140418, -394297.302356, 1787087.755896 
-6752924.791166, -809456.739518, 1281806.362799 
-6770033.909288, -1217285.611099, 764916.732787 
-6725832.551963, -1614090.555685, 241099.898393 
-6620721.013526, -1996278.046250, -284900.374016 
-6455651.200347, -2360386.933697, -808320.544521 
-6232118.010215, -2703119.791558, -1324420.439002 
-5952145.794315, -3021372.777998, -1828526.176897 
-5618270.024389, -3312263.744689, -2316072.498579 
-5233514.331112, -3573158.337992, -2782644.109061 
-4801363.121622, -3801693.856068, -3224015.663588 
-4325730.024193, -3995800.645877, -3636190.033015 
-3810922.445810, -4153720.846272, -4015434.502425 
-3261602.563621, -4274024.307463, -4358314.575176 
-2682745.103545, -4355621.542678, -4661725.076232 
-2079592.288377, -4397773.594716, -4922918.273112 
-1457606.363414, -4400098.728069, -5139528.759777 
-822420.129507, -4362575.885969, -5309594.878119 
-179785.931552, -4285544.881084, -5431576.483033 
464476.435639, -4169703.318122, -5504368.890216 
