Outputting to ../data/logout.400pktps.10ms.254rwnd
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 -0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235
5527356.365037 0.000000 -4165161.775235


5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235
5339016.264093 1430585.096340 -4165161.775235


4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235
4786831.027892 2763678.182519 -4165161.775235


3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
3908431.167753 3908431.167753 -4165161.775235
